"239"	"14"
"239"	"17"
"239"	"105"
"239"	"208"
"9"	"6"
"9"	"110"
"9"	"7"
"9"	"60"
"9"	"5"
"9"	"159"
"9"	"208"
"12"	"125"
"12"	"145"
"12"	"233"
"12"	"13"
"12"	"60"
"12"	"179"
"12"	"208"
"130"	"13"
"130"	"166"
"130"	"68"
"130"	"60"
"130"	"82"
"130"	"179"
"130"	"208"
"240"	"125"
"240"	"189"
"240"	"27"
"240"	"13"
"240"	"82"
"240"	"179"
"240"	"208"
"10"	"26"
"10"	"230"
"10"	"221"
"10"	"118"
"10"	"237"
"10"	"82"
"10"	"204"
"10"	"208"
"144"	"26"
"144"	"230"
"144"	"145"
"144"	"242"
"144"	"228"
"144"	"109"
"144"	"60"
"144"	"208"
"78"	"145"
"78"	"233"
"78"	"27"
"78"	"209"
"78"	"13"
"78"	"60"
"78"	"82"
"78"	"179"
"78"	"208"
"201"	"6"
"201"	"110"
"201"	"7"
"201"	"109"
"201"	"126"
"201"	"60"
"201"	"5"
"201"	"159"
"201"	"208"
"100"	"27"
"100"	"209"
"100"	"166"
"100"	"109"
"100"	"55"
"100"	"68"
"100"	"60"
"100"	"82"
"100"	"179"
"100"	"208"
"146"	"26"
"146"	"63"
"146"	"230"
"146"	"145"
"146"	"221"
"146"	"13"
"146"	"166"
"146"	"228"
"146"	"82"
"146"	"208"
"188"	"125"
"188"	"145"
"188"	"6"
"188"	"7"
"188"	"55"
"188"	"60"
"188"	"82"
"188"	"179"
"188"	"5"
"188"	"208"
"234"	"125"
"234"	"145"
"234"	"233"
"234"	"166"
"234"	"68"
"234"	"60"
"234"	"82"
"234"	"185"
"234"	"179"
"234"	"208"
"3"	"26"
"3"	"230"
"3"	"145"
"3"	"221"
"3"	"27"
"3"	"13"
"3"	"237"
"3"	"109"
"3"	"204"
"3"	"179"
"3"	"208"
"90"	"125"
"90"	"145"
"90"	"189"
"90"	"233"
"90"	"27"
"90"	"13"
"90"	"109"
"90"	"60"
"90"	"82"
"90"	"179"
"90"	"208"
"112"	"26"
"112"	"230"
"112"	"145"
"112"	"221"
"112"	"233"
"112"	"118"
"112"	"237"
"112"	"31"
"112"	"68"
"112"	"179"
"112"	"208"
"147"	"26"
"147"	"63"
"147"	"230"
"147"	"125"
"147"	"145"
"147"	"233"
"147"	"27"
"147"	"13"
"147"	"118"
"147"	"82"
"147"	"179"
"147"	"208"
"98"	"233"
"98"	"27"
"98"	"106"
"98"	"117"
"98"	"209"
"98"	"13"
"98"	"166"
"98"	"55"
"98"	"68"
"98"	"60"
"98"	"82"
"98"	"179"
"98"	"208"
"101"	"125"
"101"	"145"
"101"	"189"
"101"	"233"
"101"	"27"
"101"	"209"
"101"	"13"
"101"	"55"
"101"	"60"
"101"	"82"
"101"	"179"
"101"	"159"
"101"	"208"
"192"	"26"
"192"	"230"
"192"	"125"
"192"	"221"
"192"	"189"
"192"	"242"
