Size	Connectance	Basal_p	Network	Species	Persistence	in_Degree	out_Degree	STL	m12	m36	m38	m6	p(12, 0, 1)	p(12, 1, 0)	p(12, 1, 1)	p(36, 0, 1)	p(36, 2, 0)	p(38, 0, 2)	p(38, 1, 1)	p(38, 2, 0)	p(6, 0, 2)	p(6, 1, 0)
260	0.024	0.0	kongsfjorden	"sp79"	0.80964	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp255"	0.80873	2	2	2	11	274	1	95	0	7	4	274	0	0	0	1	1	94
260	0.024	0.0	kongsfjorden	"sp28"	0.81145	21	7	2	164	259	37	273	0	41	123	251	8	0	24	13	210	63
260	0.024	0.0	kongsfjorden	"sp260"	0.81103	2	2	2	15	227	0	68	0	11	4	226	1	0	0	0	1	67
260	0.024	0.0	kongsfjorden	"sp142"	0.80845	2	2	2	7	272	3	90	0	5	2	272	0	0	2	1	1	89
260	0.024	0.0	kongsfjorden	"sp64"	0.80837	2	5	2	11	272	12	108	0	9	2	266	6	0	8	4	1	107
260	0.024	0.0	kongsfjorden	"sp92"	0.74264	13	3	2	68	318	28	183	23	13	32	315	3	21	7	0	57	126
260	0.024	0.0	kongsfjorden	"sp218"	0.68624	9	14	3	175	101	90	179	101	7	67	41	60	0	59	31	36	143
260	0.024	0.0	kongsfjorden	"sp164"	0.80997	2	2	2	11	227	0	35	0	7	4	226	1	0	0	0	1	34
260	0.024	0.0	kongsfjorden	"sp226"	0.81023	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp140"	0.81016	2	2	2	7	272	3	90	0	5	2	272	0	0	2	1	1	89
260	0.024	0.0	kongsfjorden	"sp71"	0.8111	1	2	2	6	168	1	55	0	5	1	167	1	0	1	0	0	55
260	0.024	0.0	kongsfjorden	"sp156"	0.66847	23	3	3	299	88	78	302	266	1	32	87	1	39	37	2	214	88
260	0.024	0.0	kongsfjorden	"sp245"	0.73164	13	14	2	286	322	65	206	73	42	171	254	68	31	11	23	47	159
260	0.024	0.0	kongsfjorden	"sp24"	0.80936	4	1	2	5	80	0	36	0	1	4	80	0	0	0	0	6	30
260	0.024	0.0	kongsfjorden	"sp147"	0.76261	5	7	2	105	229	35	75	40	52	13	217	12	4	22	9	6	69
260	0.024	0.0	kongsfjorden	"sp249"	0.80808	18	1	2	17	367	4	206	0	3	14	367	0	0	4	0	153	53
260	0.024	0.0	kongsfjorden	"sp31"	0.81074	18	2	2	42	434	0	203	0	6	36	433	1	0	0	0	153	50
260	0.024	0.0	kongsfjorden	"sp204"	0.71983	31	1	3	203	87	14	508	179	3	21	87	0	4	10	0	461	47
260	0.024	0.0	kongsfjorden	"sp136"	0.68702	11	4	3	106	68	19	183	72	3	31	67	1	1	13	5	54	129
260	0.024	0.0	kongsfjorden	"sp117"	0.63946	26	0	3	400	60	85	240	400	0	0	60	0	85	0	0	240	0
260	0.024	0.0	kongsfjorden	"sp40"	0.66441	2	4	3	27	25	7	141	18	3	6	24	1	0	2	5	1	140
260	0.024	0.0	kongsfjorden	"sp49"	0.81036	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp55"	0.80742	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp107"	0.72053	35	4	3	234	136	25	712	97	0	137	135	1	17	3	5	578	134
260	0.024	0.0	kongsfjorden	"sp206"	0.75719	35	3	2	193	405	18	704	93	1	99	404	1	10	6	2	585	119
