"Network" "S" "C" "Disturbance" "Motif" "Motif_slope"
"10" "50" "0.02" "1" "Omnivory" "-0.367748694520442"
"10" "50" "0.02" "1" "Chain" "-0.219550575254976"
"10" "50" "0.02" "1" "Apparent" "0.097101971394952"
"10" "50" "0.02" "1" "Direct" "0.43069920289499"
"11" "50" "0.02" "0" "Omnivory" "0.0774445726941067"
"11" "50" "0.02" "0" "Chain" "0.0052988876091665"
"11" "50" "0.02" "0" "Apparent" "-0.260084957446083"
"11" "50" "0.02" "0" "Direct" "0.342728209734925"
"11" "50" "0.02" "0.2" "Omnivory" "-0.0440623957194012"
"11" "50" "0.02" "0.2" "Chain" "-0.0277724050243493"
"11" "50" "0.02" "0.2" "Apparent" "-0.166147929421174"
"11" "50" "0.02" "0.2" "Direct" "0.309898792365536"
"11" "50" "0.02" "0.4" "Omnivory" "-0.140779267699074"
"11" "50" "0.02" "0.4" "Chain" "-0.0784984527026971"
"11" "50" "0.02" "0.4" "Apparent" "-0.0843546686056682"
"11" "50" "0.02" "0.4" "Direct" "0.303077311632283"
"11" "50" "0.02" "0.6" "Omnivory" "-0.21504566894884"
"11" "50" "0.02" "0.6" "Chain" "-0.135347061944837"
"11" "50" "0.02" "0.6" "Apparent" "-0.0143360646321889"
"11" "50" "0.02" "0.6" "Direct" "0.307911397127074"
"11" "50" "0.02" "0.8" "Omnivory" "-0.275033206334754"
"11" "50" "0.02" "0.8" "Chain" "-0.205755399446227"
"11" "50" "0.02" "0.8" "Apparent" "0.0563389416369071"
"11" "50" "0.02" "0.8" "Direct" "0.318384902205952"
"11" "50" "0.02" "1" "Omnivory" "-0.338628020849865"
"11" "50" "0.02" "1" "Chain" "-0.282578456508003"
"11" "50" "0.02" "1" "Apparent" "0.132123989603981"
"11" "50" "0.02" "1" "Direct" "0.328850626898844"
"12" "50" "0.02" "0" "Omnivory" "-0.14954608685867"
"12" "50" "0.02" "0" "Chain" "0.0379063581996897"
"12" "50" "0.02" "0" "Apparent" "-0.175397614530255"
"12" "50" "0.02" "0" "Direct" "0.304331634940394"
"12" "50" "0.02" "0.2" "Omnivory" "-0.243332314076271"
"12" "50" "0.02" "0.2" "Chain" "0.0197233480084253"
"12" "50" "0.02" "0.2" "Apparent" "-0.0998415299523318"
"12" "50" "0.02" "0.2" "Direct" "0.276796729837809"
"12" "50" "0.02" "0.4" "Omnivory" "-0.316180375946325"
"12" "50" "0.02" "0.4" "Chain" "-0.0348389613872705"
"12" "50" "0.02" "0.4" "Apparent" "-0.013339101377546"
"12" "50" "0.02" "0.4" "Direct" "0.261103112608576"
"12" "50" "0.02" "0.6" "Omnivory" "-0.353287848299921"
"12" "50" "0.02" "0.6" "Chain" "-0.119707466959186"
"12" "50" "0.02" "0.6" "Apparent" "0.0757315641622633"
"12" "50" "0.02" "0.6" "Direct" "0.252223561288442"
